	Dark skin	Light skin	Blue sky	Foliage	Blue flower	Bluish green	Orange	Purplish blue	Moderate red	Purple	Yellow green	Orange yellow	Blue	Green	Red	Yellow	Magenta	Cyan	White	Neutral 8	Neutral 6.5	Neutral 5	Neutral 3.5	Black
667.09	0.20231	0.75014	0.16533	0.12877	0.40945	0.20435	0.63747	0.13886	0.61971	0.15423	0.32052	0.65427	0.053751	0.10568	0.63875	0.75683	0.81125	0.077374	0.95293	0.61412	0.36836	0.1869	0.084135	0.031455
670.28	0.2006	0.76093	0.1653	0.1274	0.41624	0.20823	0.64119	0.14595	0.61941	0.16122	0.32655	0.6543	0.05455	0.10815	0.63954	0.74912	0.81861	0.077344	0.95216	0.61343	0.36763	0.1865	0.083924	0.031436
673.47	0.19814	0.77141	0.16467	0.12549	0.42013	0.21221	0.64553	0.15356	0.61896	0.16862	0.33221	0.65399	0.055328	0.11074	0.6402	0.73791	0.82399	0.077048	0.95174	0.61276	0.36696	0.18577	0.083642	0.031379
676.66	0.19555	0.78196	0.16384	0.12369	0.42161	0.21626	0.65061	0.16183	0.6184	0.177	0.3376	0.65365	0.056167	0.11364	0.64091	0.72578	0.82792	0.076633	0.95231	0.61211	0.36646	0.18527	0.083461	0.031306
679.85	0.19287	0.79247	0.16256	0.12156	0.42157	0.22017	0.65592	0.17055	0.61774	0.18587	0.34274	0.65357	0.057012	0.11631	0.64137	0.71538	0.83134	0.076149	0.95298	0.61093	0.36548	0.18464	0.083155	0.031258
683.04	0.19032	0.80294	0.161	0.11958	0.42086	0.22412	0.66132	0.17988	0.61693	0.19562	0.34786	0.65405	0.057851	0.11882	0.6418	0.71003	0.83479	0.075631	0.95344	0.60977	0.36446	0.18395	0.083036	0.03125
686.24	0.18827	0.81374	0.15935	0.11789	0.42032	0.22805	0.66683	0.19012	0.61626	0.20643	0.35344	0.6555	0.058832	0.12146	0.64243	0.71076	0.83903	0.07499	0.954	0.60905	0.36369	0.18335	0.082748	0.031219
689.43	0.18689	0.82454	0.15747	0.11662	0.42007	0.23173	0.67286	0.20139	0.61591	0.21826	0.35893	0.65704	0.059958	0.1242	0.6431	0.71667	0.8434	0.074234	0.95413	0.60832	0.36312	0.18294	0.082577	0.031223
692.62	0.18606	0.83528	0.15524	0.11562	0.42037	0.2352	0.67883	0.21353	0.61555	0.23107	0.3643	0.65865	0.061187	0.12673	0.64367	0.7259	0.84791	0.07336	0.95425	0.60753	0.36249	0.18248	0.082307	0.031231
695.81	0.18578	0.84572	0.15264	0.11469	0.42131	0.23799	0.68454	0.22646	0.61516	0.24457	0.36893	0.66025	0.062613	0.12893	0.64416	0.73648	0.85258	0.072398	0.95403	0.60676	0.36175	0.18186	0.082013	0.031218
699	0.18609	0.85563	0.14991	0.11422	0.42299	0.2403	0.68962	0.24043	0.6145	0.25916	0.37279	0.66153	0.064222	0.13079	0.64452	0.74674	0.85718	0.071424	0.95351	0.60581	0.36104	0.18129	0.081882	0.0312
702.19	0.18683	0.8649	0.14733	0.11399	0.42534	0.24151	0.69416	0.25541	0.61399	0.27442	0.375	0.66273	0.066063	0.13196	0.64522	0.75573	0.86176	0.070592	0.95313	0.60499	0.36048	0.1808	0.081586	0.031182
705.39	0.18806	0.87351	0.14527	0.11384	0.42847	0.24164	0.69771	0.27131	0.61344	0.2898	0.37557	0.6636	0.068146	0.13241	0.64573	0.76301	0.86604	0.070051	0.95277	0.6042	0.35979	0.18018	0.081395	0.031169
708.58	0.18999	0.88122	0.14401	0.11412	0.43237	0.24035	0.70011	0.28793	0.61281	0.30503	0.37432	0.66418	0.070513	0.13188	0.64603	0.76866	0.86995	0.069915	0.95255	0.60318	0.35891	0.17961	0.08122	0.031126
711.77	0.19247	0.88823	0.14399	0.11469	0.43761	0.23806	0.70118	0.30542	0.61215	0.3197	0.37173	0.66481	0.073127	0.13064	0.64636	0.77288	0.87324	0.070268	0.95253	0.60249	0.35803	0.17895	0.081059	0.03109
714.96	0.19553	0.8946	0.14515	0.11568	0.44418	0.23492	0.70136	0.32374	0.61143	0.33387	0.36789	0.66561	0.076013	0.12878	0.64647	0.77626	0.87634	0.071077	0.95252	0.6016	0.35707	0.17838	0.080841	0.031071
