"Light Blue"	""	""	
590	1.980000E-1
600	4.322000E-1
610	6.419000E-1
620	7.652000E-1
630	8.231000E-1
640	8.465000E-1
650	8.615000E-1
660	8.722000E-1
670	8.787000E-1
680	8.821000E-1
690	8.826000E-1
700	8.827000E-1
710	8.793000E-1
720	8.744000E-1
730	8.304000E-1
"White"	""	""	
380	3.496000E-1
390	4.600000E-1
400	6.302000E-1
410	7.726000E-1
420	8.215000E-1
430	8.384000E-1
440	8.515000E-1
450	8.614000E-1
460	8.705000E-1
470	8.792000E-1
480	8.857000E-1
490	8.931000E-1
500	8.992000E-1
510	9.044000E-1
520	9.112000E-1
530	9.145000E-1
540	9.176000E-1
550	9.228000E-1
560	9.242000E-1
570	9.317000E-1
580	9.318000E-1
590	9.332000E-1
600	9.355000E-1
610	9.381000E-1
620	9.399000E-1
630	9.393000E-1
640	9.366000E-1
650	9.367000E-1
660	9.388000E-1
670	9.407000E-1
680	9.443000E-1
690	9.448000E-1
700	9.482000E-1
710	9.502000E-1
720	9.530000E-1
730	9.300000E-1
"Light Brown"	""	""	
380	9.510000E-2
390	1.259000E-1
400	1.656000E-1
410	1.952000E-1
420	2.058000E-1
430	2.132000E-1
440	2.236000E-1
450	2.399000E-1
460	2.625000E-1
470	2.829000E-1
480	3.066000E-1
490	3.507000E-1
500	4.062000E-1
510	4.430000E-1
520	4.595000E-1
530	4.724000E-1
540	4.846000E-1
550	4.889000E-1
560	4.928000E-1
570	5.120000E-1
580	5.296000E-1
590	5.390000E-1
600	5.478000E-1
610	5.536000E-1
620	5.583000E-1
630	5.634000E-1
640	5.654000E-1
650	5.702000E-1
660	5.757000E-1
670	5.802000E-1
680	5.857000E-1
690	5.902000E-1
700	5.934000E-1
710	5.984000E-1
720	6.019000E-1
730	5.728000E-1
"Brown"	""	""	
380	4.730000E-2
390	5.650000E-2
400	6.590000E-2
410	7.290000E-2
420	7.520000E-2
430	7.650000E-2
440	7.770000E-2
450	8.020000E-2
460	8.350000E-2
470	8.550000E-2
480	8.720000E-2
490	9.130000E-2
500	9.600000E-2
510	9.500000E-2
520	9.100000E-2
530	9.210000E-2
540	9.680000E-2
550	9.520000E-2
560	9.620000E-2
570	1.113000E-1
580	1.315000E-1
590	1.428000E-1
600	1.478000E-1
610	1.522000E-1
620	1.548000E-1
630	1.569000E-1
640	1.596000E-1
650	1.617000E-1
660	1.643000E-1
670	1.674000E-1
680	1.695000E-1
690	1.719000E-1
700	1.751000E-1
710	1.776000E-1
720	1.794000E-1
730	1.846000E-1
"Light Gray"	""	""	
380	2.765000E-1
390	3.626000E-1
400	4.906000E-1
410	5.974000E-1
420	6.383000E-1
430	6.589000E-1
440	6.780000E-1
450	6.947000E-1
460	7.116000E-1
470	7.286000E-1
480	7.424000E-1
490	7.578000E-1
500	7.719000E-1
510	7.823000E-1
520	7.917000E-1
530	7.972000E-1
540	8.023000E-1
550	8.078000E-1
560	8.093000E-1
570	8.160000E-1
580	8.159000E-1
590	8.192000E-1
600	8.208000E-1
610	8.240000E-1
620	8.275000E-1
630	8.287000E-1
640	8.284000E-1
650	8.323000E-1
660	8.371000E-1
670	8.412000E-1
680	8.460000E-1
690	8.470000E-1
700	8.484000E-1
710	8.529000E-1
720	8.511000E-1
730	8.322000E-1
"Black"	""	""	
380	1.930000E-2
390	2.210000E-2
400	2.390000E-2
410	2.580000E-2
420	2.640000E-2
430	2.720000E-2
440	2.780000E-2
450	2.830000E-2
460	2.880000E-2
470	2.930000E-2
480	2.960000E-2
490	2.980000E-2
500	2.960000E-2
510	2.940000E-2
520	2.890000E-2
530	2.820000E-2
540	2.830000E-2
550	2.870000E-2
560	2.860000E-2
570	2.930000E-2
580	3.050000E-2
590	3.150000E-2
600	3.190000E-2
610	3.200000E-2
620	3.210000E-2
630	3.240000E-2
640	3.340000E-2
650	3.470000E-2
660	3.700000E-2
670	3.810000E-2
680	3.930000E-2
690	3.920000E-2
700	4.000000E-2
710	4.090000E-2
720	4.180000E-2
730	4.610000E-2
"Gray Surround"	""	""	
380	1.293000E-1
390	1.682000E-1
400	2.189000E-1
410	2.610000E-1
420	2.793000E-1
430	2.902000E-1
440	3.001000E-1
450	3.085000E-1
460	3.156000E-1
470	3.223000E-1
480	3.275000E-1
490	3.318000E-1
500	3.348000E-1
510	3.365000E-1
520	3.368000E-1
530	3.344000E-1
540	3.351000E-1
550	3.373000E-1
560	3.349000E-1
570	3.345000E-1
580	3.355000E-1
590	3.395000E-1
600	3.411000E-1
610	3.404000E-1
620	3.416000E-1
630	3.430000E-1
640	3.485000E-1
650	3.570000E-1
660	3.672000E-1
670	3.742000E-1
680	3.778000E-1
690	3.783000E-1
700	3.770000E-1
710	3.750000E-1
720	3.815000E-1
730	3.815000E-1
END_DATA
